,atlasEcono,Hemisphere,Lobe,Thickness at 10y.o.,Curvature,Layer I thickness,Layer II thickness,Layer III thickness,Layer IV thickness,Layer V thickness,Layer VI thickness,bigbrain_layer_1,r2.0,r2.1,r2.2,struture
0,10.0,0.0,1.0,3.0628183,-0.31337503,0.28178433,0.22960205,0.7514249,0.17741977,0.594878,0.65749675,0.10465116,0.9126711785543015,0.8032289886131635,0.952124931605278,10.0
1,10.0,1.0,1.0,3.1478245,-0.4694134,0.28928307,0.23571214,0.77142155,0.1821412,0.6107087,0.6749938,0.10465116,0.9126711785543015,0.8032289886131635,0.952124931605278,10.0
2,11.0,0.0,1.0,2.8001373,-3.6347497,0.30136976,0.2343987,0.6585487,0.1785895,0.5246066,0.569254,0.122171946,0.8749478820527292,0.6776145880641118,0.8732810384335662,11.0
3,11.0,1.0,1.0,2.6960213,-4.3881617,0.29626623,0.23042929,0.6473966,0.17556518,0.5157227,0.559614,0.122171946,0.8749478820527292,0.6776145880641118,0.8732810384335662,11.0
4,12.0,0.0,1.0,2.8240259,0.72656655,0.3032761,0.2543606,0.69460005,0.1858789,0.49893808,0.5282874,0.12301587,0.7543837454899978,0.40105789045215456,0.9225052038423304,12.0
5,12.0,1.0,1.0,2.937069,-0.5939791,0.3117887,0.2615002,0.71409667,0.1910963,0.5129427,0.5431158,0.12301587,0.7543837454899978,0.40105789045215456,0.9225052038423304,12.0
6,13.0,0.0,1.0,3.6419792,3.8902528,0.3680572,0.29682034,0.9379522,0.18996501,0.77173287,0.79547846,0.109540634,0.7565719287088667,-0.01,0.5981225403374547,13.0
7,13.0,1.0,1.0,3.4659045,2.5644162,0.35584712,0.2869735,0.9068363,0.18366304,0.7461311,0.769089,0.109540634,0.7565719287088667,-0.01,0.5981225403374547,13.0
8,18.0,0.0,2.0,3.4785633,5.32185,0.3596819,0.28562975,0.8568892,0.16926207,0.698206,0.74052155,0.11564626,0.9010625187252802,0.8203151887074555,0.9233992172754087,18.0
9,18.0,1.0,2.0,3.5818036,5.092261,0.3682856,0.29246208,0.8773862,0.17331086,0.71490735,0.75823504,0.11564626,0.9010625187252802,0.8203151887074555,0.9233992172754087,18.0
10,19.0,0.0,2.0,3.4308596,7.0723114,0.36996633,0.27203405,0.8378648,0.17410178,0.7072885,0.7290513,0.11971831,0.8310506601277815,0.6448720897318362,0.9706531237142392,19.0
11,19.0,1.0,2.0,3.5829027,6.7972565,0.3778696,0.2778453,0.85576344,0.17782098,0.72239774,0.7446254,0.11971831,0.8310506601277815,0.6448720897318362,0.9706531237142392,19.0
12,2.0,0.0,1.0,2.7845407,-0.04741816,0.2573492,0.21297863,0.7365511,0.15085988,0.5945654,0.6389359,0.09931507,-0.01,-0.01,-0.01,2.0
13,2.0,1.0,1.0,2.8303592,-1.4924709,0.26265925,0.21737318,0.7517489,0.15397267,0.60683346,0.6521195,0.09931507,-0.01,-0.01,-0.01,2.0
14,20.0,0.0,3.0,3.170056,3.109215,0.34918666,0.27033806,0.7659579,0.1576972,0.60826063,0.64205295,0.125,0.8153326775832983,0.4768445209655351,0.8811218653984356,20.0
15,20.0,1.0,3.0,3.2403224,1.7047588,0.35242075,0.27284187,0.773052,0.15915775,0.6138942,0.64799947,0.125,0.8153326775832983,0.4768445209655351,0.8811218653984356,20.0
16,21.0,0.0,3.0,3.1900651,0.12108392,0.31124222,0.25566328,0.75587404,0.15562111,0.644716,0.7114108,0.10980392,0.5623317383762053,0.368082984950848,0.7292591389053349,21.0
17,21.0,1.0,3.0,2.8146837,0.005962179,0.28434744,0.23357111,0.6905581,0.14217372,0.5890054,0.64993703,0.10980392,0.5623317383762053,0.368082984950848,0.7292591389053349,21.0
18,22.0,0.0,3.0,3.0811315,2.6452098,0.28069192,0.23750852,0.76650476,0.20512101,0.5721797,0.59377134,0.10569106,0.890686617650895,0.70755667931294,0.9563980217897867,22.0
19,22.0,1.0,3.0,3.1832814,1.9074162,0.2933843,0.24824823,0.80116475,0.21439621,0.5980526,0.6206206,0.10569106,0.890686617650895,0.70755667931294,0.9563980217897867,22.0
20,23.0,0.0,3.0,3.5975962,-0.67273855,0.33073598,0.26948857,0.90646154,0.1959917,0.71046984,0.73496884,0.105058365,0.8282804597863138,-0.01,0.6258245981490995,23.0
21,23.0,1.0,3.0,3.0287192,-1.5403349,0.30107653,0.2453216,0.82517266,0.17841572,0.646757,0.6690589,0.105058365,0.8282804597863138,-0.01,0.6258245981490995,23.0
22,24.0,0.0,3.0,2.264786,0.3230289,0.20020169,0.1521533,0.62462926,0.08808875,0.592597,0.58458894,0.08928572,-0.01,-0.01,-0.01,24.0
23,24.0,1.0,3.0,2.2990503,0.06618381,0.20387214,0.15494284,0.6360811,0.089703746,0.60346156,0.5953067,0.08928572,-0.01,-0.01,-0.01,24.0
24,25.0,0.0,3.0,3.0317652,-2.7664344,0.3068923,0.21920879,0.7453099,0.1644066,0.56994283,0.55898243,0.11965812,0.7076144471128304,0.4274079957730553,0.8041162174465663,25.0
25,25.0,1.0,3.0,2.8920937,-1.2617807,0.28754228,0.20538735,0.698317,0.15404052,0.5340071,0.5237377,0.11965812,0.7076144471128304,0.4274079957730553,0.8041162174465663,25.0
26,27.0,0.0,4.0,2.294468,-0.41494867,0.2351889,0.20805173,0.597018,0.20805173,0.4070577,0.41610345,0.11353712,0.8495554372367098,0.4107047363914659,0.7231303686893581,27.0
27,27.0,1.0,4.0,2.3692682,-1.1576717,0.24213463,0.21419601,0.6146495,0.21419601,0.41907915,0.42839202,0.11353712,0.8495554372367098,0.4107047363914659,0.7231303686893581,27.0
28,28.0,0.0,4.0,1.954748,-3.1526642,0.20907141,0.17271118,0.5090434,0.2545217,0.34542236,0.39087266,0.11111111,-0.01,-0.01,-0.01,28.0
29,28.0,1.0,4.0,2.0556836,-4.014847,0.21722054,0.17944306,0.52888477,0.26444238,0.35888612,0.40610796,0.11111111,-0.01,-0.01,-0.01,28.0
30,29.0,0.0,4.0,1.9624696,3.779549,0.20864254,0.13909502,0.4250126,0.3709201,0.27046257,0.32455507,0.12,0.3231633748525925,0.15035686135032988,0.47836208866944496,29.0
31,29.0,1.0,4.0,1.9064971,1.9966139,0.20848235,0.13898824,0.42468628,0.37063533,0.2702549,0.3243059,0.12,0.3231633748525925,0.15035686135032988,0.47836208866944496,29.0
32,3.0,0.0,1.0,3.0673356,0.3107528,0.2927335,0.22663239,0.7648843,0.15108827,0.67045414,0.64212507,0.106529206,0.5817236233231426,0.6126788881415144,0.8369499136151521,3.0
33,3.0,1.0,1.0,2.981383,0.8225674,0.2874594,0.22254921,0.7511036,0.14836615,0.6583748,0.6305561,0.106529206,0.5817236233231426,0.6126788881415144,0.8369499136151521,3.0
34,30.0,0.0,5.0,2.2799199,3.4221716,0.24940477,0.1959609,0.58788264,0.17814626,0.38301447,0.42755103,0.12334802,0.9388542105092288,0.5244553738909269,0.9429263244162183,30.0
35,30.0,1.0,5.0,2.2517166,5.1717963,0.24989916,0.19634934,0.589048,0.17849939,0.3837737,0.42839855,0.12334802,0.9388542105092288,0.5244553738909269,0.9429263244162183,30.0
36,31.0,0.0,5.0,1.8528794,-1.6050521,0.20544223,0.16875611,0.48425668,0.14674446,0.3521867,0.3815356,0.11814346,-0.01,-0.01,0.8336239400851808,31.0
37,31.0,1.0,5.0,1.6500185,1.3092035,0.18585522,0.15266679,0.4380873,0.13275373,0.31860897,0.3451597,0.11814346,-0.01,-0.01,0.8336239400851808,31.0
38,32.0,0.0,5.0,2.4631774,-3.6216788,0.23910818,0.20494987,0.6148496,0.19641028,0.52091426,0.546533,0.10294118,-0.01,-0.01,-0.01,32.0
39,32.0,1.0,5.0,2.3432236,-4.8539715,0.23209849,0.19894156,0.5968247,0.19065233,0.5056431,0.53051084,0.10294118,-0.01,-0.01,-0.01,32.0
40,33.0,0.0,5.0,2.5832827,5.41151,0.2518548,0.20987901,0.6548225,0.18469353,0.45333868,0.47012898,0.11320755,0.8752922294980083,0.4789494505168209,0.9458899063422763,33.0
41,33.0,1.0,5.0,2.5127187,3.8372126,0.24891332,0.20742777,0.64717466,0.18253644,0.44804397,0.4646382,0.11320755,0.8752922294980083,0.4789494505168209,0.9458899063422763,33.0
42,34.0,0.0,5.0,2.6799538,-0.94772726,0.25094262,0.22405589,0.67216766,0.21509367,0.49292296,0.50188524,0.10646388,0.9656791616616195,0.6146887123117422,0.9840682412301385,34.0
43,34.0,1.0,5.0,2.6927855,-1.171178,0.2543792,0.2271243,0.6813729,0.21803933,0.49967346,0.5087584,0.10646388,0.9656791616616195,0.6146887123117422,0.9840682412301385,34.0
44,35.0,0.0,5.0,3.051067,0.024267565,0.30356142,0.23916961,0.7451054,0.21157311,0.5887252,0.597924,0.1130137,0.9139371407474033,0.755396696050426,0.9678030366539357,35.0
45,35.0,1.0,5.0,2.9618254,1.0844513,0.29832575,0.23504452,0.73225415,0.207924,0.57857114,0.5876113,0.1130137,0.9139371407474033,0.755396696050426,0.9678030366539357,35.0
46,36.0,0.0,5.0,2.893625,-0.079919994,0.27126008,0.24319871,0.74830365,0.22449112,0.54252017,0.551874,0.10507246,0.8574862228376527,0.48049379144060633,0.9007304303379327,36.0
47,36.0,1.0,5.0,2.925429,-0.2457052,0.27323684,0.24497096,0.7537568,0.22612706,0.5464737,0.5558956,0.10507246,0.8574862228376527,0.48049379144060633,0.9007304303379327,36.0
48,37.0,0.0,5.0,2.754872,0.134003,0.27133358,0.24326457,0.7017247,0.24326457,0.51459813,0.51459813,0.10902256,0.9676672760443911,0.2117687822207066,0.9516437711586713,37.0
49,37.0,1.0,5.0,2.7922788,0.83887964,0.274862,0.24642797,0.71084994,0.24642797,0.52128994,0.52128994,0.10902256,0.9676672760443911,0.2117687822207066,0.9516437711586713,37.0
50,38.0,0.0,6.0,3.2658112,-2.8210309,0.30954748,0.2532661,0.8066995,0.21574521,0.6659961,0.60971475,0.10819672,0.6948036197010649,0.39112359612883474,0.7470162258783635,38.0
51,38.0,1.0,6.0,3.20711,-1.048828,0.3077585,0.2518024,0.8020374,0.21449837,0.6621471,0.60619104,0.10819672,0.6948036197010649,0.39112359612883474,0.7470162258783635,38.0
52,39.0,0.0,6.0,2.8822556,5.39712,0.29586843,0.21978799,0.6593639,0.19442783,0.5579234,0.56637675,0.118644066,0.40932927713854095,-0.01,0.6543671638503383,39.0
53,39.0,1.0,6.0,2.9550219,2.6602852,0.30530706,0.22679953,0.6803986,0.20063035,0.5757219,0.58444494,0.118644066,0.40932927713854095,-0.01,0.6543671638503383,39.0
54,4.0,0.0,1.0,3.1141531,-0.5474593,0.31879118,0.22913116,0.7770535,0.15939559,0.64754456,0.62762016,0.115523465,0.8624234069499278,0.7491690023684151,0.86505244607971,4.0
55,4.0,1.0,1.0,3.0078745,-0.012986081,0.30853438,0.22175908,0.7520525,0.15426719,0.6267104,0.60742706,0.115523465,0.8624234069499278,0.7491690023684151,0.86505244607971,4.0
56,40.0,0.0,6.0,2.8479931,4.1101174,0.28615457,0.20811242,0.6330086,0.17342702,0.5636378,0.55496645,0.11827957,0.9475258395484611,0.5864616255986272,0.9587818508692345,40.0
57,40.0,1.0,6.0,2.748178,4.7103186,0.2791771,0.20303789,0.61757356,0.16919824,0.5498943,0.54143435,0.11827957,0.9475258395484611,0.5864616255986272,0.9587818508692345,40.0
58,41.0,0.0,6.0,2.7782345,11.572611,0.2501465,0.1965437,0.6164324,0.16080847,0.51816064,0.58069724,0.10769231,0.763842467706322,0.5138899982843315,0.8695289588326447,41.0
59,41.0,1.0,6.0,2.879911,11.404839,0.25999916,0.20428506,0.6407122,0.16714232,0.5385696,0.60356945,0.10769231,0.763842467706322,0.5138899982843315,0.8695289588326447,41.0
60,42.0,0.0,6.0,3.1516623,-0.020105032,0.2950698,0.2569963,0.7709888,0.2474779,0.6186948,0.6091764,0.105442174,0.9396445488837116,0.7997213453756296,0.9441581922132068,42.0
61,42.0,1.0,6.0,3.1753745,-0.10047042,0.29980215,0.261118,0.783354,0.25144696,0.6286174,0.6189464,0.105442174,0.9396445488837116,0.7997213453756296,0.9441581922132068,42.0
62,43.0,0.0,6.0,3.0971174,1.5369394,0.30917457,0.2593077,0.7978699,0.2593077,0.62832254,0.61834913,0.10763889,0.8521372358102989,-0.01,0.7733067034611376,43.0
63,43.0,1.0,6.0,3.059732,1.1279439,0.30362642,0.2546544,0.7835521,0.2546544,0.61704725,0.60725284,0.10763889,0.8521372358102989,-0.01,0.7733067034611376,43.0
64,44.0,0.0,6.0,3.5031505,-4.1525598,0.34283003,0.31997466,0.9827794,0.23998101,0.754226,0.69708765,0.10273973,-0.01,-0.01,-0.01,44.0
65,44.0,1.0,6.0,3.489253,-5.156648,0.34964007,0.32633072,1.0023016,0.24474804,0.76920813,0.71093476,0.10273973,-0.01,-0.01,-0.01,44.0
66,5.0,0.0,1.0,2.98494,0.94993156,0.29541558,0.20679091,0.7483861,0.16740215,0.6105255,0.64006704,0.11070111,0.7864414155700741,0.7416344350411808,0.6979895099194077,5.0
67,5.0,1.0,1.0,3.0888743,-0.79464614,0.30027333,0.21019134,0.7606925,0.17015488,0.6205649,0.6505922,0.11070111,0.7864414155700741,0.7416344350411808,0.6979895099194077,5.0
68,6.0,0.0,1.0,2.9753847,-0.70339864,0.29587606,0.22445771,0.71418357,0.18364722,0.55094165,0.62236,0.114173226,0.8419667462815983,0.7785136693611021,0.923312240996895,6.0
69,6.0,1.0,1.0,2.998591,-1.2205068,0.29348642,0.2226449,0.7084155,0.182164,0.546492,0.61733353,0.114173226,0.8419667462815983,0.7785136693611021,0.923312240996895,6.0
70,7.0,0.0,1.0,2.7868147,0.2755342,0.2698315,0.20237364,0.66494197,0.17346312,0.5203894,0.59748405,0.11111111,0.810530147103899,0.5436958265414301,0.8322200593774249,7.0
71,7.0,1.0,1.0,2.6769724,1.3752972,0.25572142,0.19179107,0.63017064,0.16439235,0.49317706,0.5662403,0.11111111,0.810530147103899,0.5436958265414301,0.8322200593774249,7.0
72,8.0,0.0,1.0,3.020875,-1.6863075,0.27490196,0.20854633,0.75835025,0.1706288,0.6066802,0.62563896,0.103942655,0.8579062854784831,0.5175061173071467,0.9052277961668611,8.0
73,8.0,1.0,1.0,2.9360766,-0.7664459,0.26227322,0.19896589,0.7235124,0.16279027,0.57880986,0.59689766,0.103942655,0.8579062854784831,0.5175061173071467,0.9052277961668611,8.0
74,9.0,0.0,1.0,3.1585143,-3.2706075,0.29262045,0.22509265,0.7428058,0.21383804,0.6077502,0.64151406,0.10743801,0.665652227189236,0.5363784295359487,0.7384658853317019,9.0
75,9.0,1.0,1.0,3.0320027,-3.0060296,0.2838915,0.21837807,0.7206477,0.20745918,0.58962077,0.6223775,0.10743801,0.665652227189236,0.5363784295359487,0.7384658853317019,9.0
